id_caso,fecha_extraccion,origen_detectado,nombre_empresa_crudo,url_slide,industria_detectada,subindustria_detalle,area_detectada,tipo_problema_detectado,trigger_comercial_detectado,solucion_detectada,tecnologias_mencionadas,resultados_detectados,contexto_para_embedding,notas_extraccion
NEO-004,2026-02-12,Caso NEO propio,BCP,PENDIENTE,Servicios Financieros,Priorización cognitiva de reclamos,Operaciones,BCP tiene dificultad para superar la ineficiencia del modelo FIFO en reclamos que causa demoras críticas en casos sensibles de fraude o bloqueos,Cuando un cliente tiene reclamos críticos perdidos en la cola secuencial este caso demuestra proyección de +10 pts NPS,Motor de priorización cognitiva que realiza triaje automático analizando urgencia y sentimiento en comentarios escritos de web/app,NLP Sentiment Analysis Urgency Detection Smart Routing Triaje Automático,10 pts NPS proyectados triaje en tiempo real atención focalizada casos críticos Time to Value 2 meses,Servicios Financieros | BCP | Caso NEO propio | PROBLEMA: Ineficiencia modelo FIFO en reclamos sensibles | SOLUCIÓN: Motor priorización cognitiva por urgencia/sentimiento | RESULTADO: +10 pts NPS proyectados | TRANSFERIBLE: Banca seguros servicios públicos telecomunicaciones,El sistema mejora precisión con cada interacción mediante loop cerrado
NEO-005,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Servicios Financieros,Análisis de sentimiento web automatizado,Operaciones,NEO Consulting tiene dificultad para superar la desconexión entre feedback usuario y acción corporativa que causa procesos manuales de tabulación lentos,Cuando un cliente necesita medir satisfacción web sin encuestas manuales este caso demuestra 100% automatización del loop,Motor de escucha inteligente que analiza comentarios web en tiempo real y activa respuestas personalizadas 1:1 según sentimiento,NLP Decision Engine Automation Sentiment Analysis Dashboard CX,100% automatización del loop respuesta personalizada inmediata agilidad en decisión Time to Value 2-4 meses,Servicios Financieros | NEO | Caso NEO propio | PROBLEMA: Desconexión entre feedback web y acción | SOLUCIÓN: Motor de escucha inteligente con respuestas 1:1 | RESULTADO: 100% automatización del loop | TRANSFERIBLE: Banca e-commerce plataformas SaaS,Identifica clientes insatisfechos antes de que escalen o abandonen
NEO-006,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Servicios Financieros,Automatización de reportes de Marketing,Marketing,NEO Consulting tiene dificultad para liberar al equipo de marketing de tareas recurrentes manuales que causa parálisis operativa y foco nulo en estrategia,Cuando un cliente tiene equipos consumidos por carga de data y reportes este caso demuestra reducción del 86% en costos,Motor de automatización del COE para 5 rutas críticas que genera resultados automáticos y optimiza canal de WhatsApp,AI Engine WhatsApp Optimization Automatización procesos repetitivos,86% ahorro costos operativos entrega reportes en 1 día vs 6 días +23 pts satisfacción cliente,Servicios Financieros | NEO | Caso NEO propio | PROBLEMA: Parálisis operativa por reportes manuales | SOLUCIÓN: Motor automatización COE para rutas críticas | RESULTADO: -86% costos reportes en 1 día | TRANSFERIBLE: Finanzas marketing operaciones TI,Permite que operadores dejen de buscar y comiencen a ejecutar
NEO-007,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Servicios Financieros,IA de conocimiento empresarial,Operaciones,NEO Consulting tiene dificultad para eliminar silos de conocimiento en cientos de PDFs dispersos que causa lentitud en respuesta y riesgos operativos,Cuando un cliente tiene operadores perdiendo horas buscando en normativas este caso demuestra reducción del 60% en tiempos de consulta,Plataforma de conocimiento con asistente inteligente tipo chatbot que usa Vertex AI y Dialogflow CX para búsqueda semántica,Dialogflow CX Vertex AI DataStore Cloud Storage Search Agent,60% eficiencia en búsqueda base de conocimiento 490+ documentos integrados respuestas confiables Time to Value 3 meses,Servicios Financieros | NEO | Caso NEO propio | PROBLEMA: Búsqueda manual lenta en PDFs y normativas | SOLUCIÓN: Chatbot investigador con búsqueda semántica Vertex AI | RESULTADO: -60% tiempo consulta operativa | TRANSFERIBLE: Legal compliance operaciones banca salud,Acceso directo a información oficial alineada a normativas vigentes
BENCH-008,2026-02-12,Benchmark externo,Walmart,PENDIENTE,Consumo y Retail,Búsqueda semántica adaptativa,Ventas,Walmart tiene dificultad para superar la fricción de la web estática que causa fatiga del cliente y abandono por búsquedas fragmentadas,Cuando un cliente muestra la misma Home genérica a millones de usuarios este caso demuestra incremento del 13% en ticket promedio,Experiencia digital adaptativa mediante búsqueda semántica con LLM que entiende la intención completa de la misión de compra,LLM Semantic Search Adaptive UI CDP Intent Inference Engine,13% aumento ticket promedio AOV 5% aumento conversión 75% reducción fricción Time to Value 3-4 meses,Consumo y Retail | Walmart | Benchmark externo | PROBLEMA: Fricción por web estática y búsquedas fragmentadas | SOLUCIÓN: Búsqueda semántica con LLM para intención completa | RESULTADO: +13% AOV +5% conversión | TRANSFERIBLE: Retail masivo e-commerce marketplaces,La plataforma adapta la UI según contexto (clima ubicación comportamiento)
BENCH-009,2026-02-12,Benchmark externo,C3.ai,PENDIENTE,Consumo y Retail,Optimización de inventario probabilística,Growth,C3.ai tiene dificultad para eliminar el miedo al quiebre de stock de planners humanos que causa exceso de inventario y capital inflado,Cuando un cliente tiene pronósticos en Excel ciegos a factores externos este caso demuestra reducción del 35% en inventario,Modelo cuantílico de riesgo de demanda que incorpora señales externas (clima feriados) para generar órdenes de compra optimizadas,AWS C3.ai Forecasting Probabilístico Modelo Cuantílico ERP,35% reducción nivel inventario 50% reducción quiebres de stock +20pp AOV Time to Value 3-6 meses,Consumo y Retail | C3.ai | Benchmark externo | PROBLEMA: Exceso de stock por pronósticos imprecisos | SOLUCIÓN: Pronóstico probabilístico con señales externas | RESULTADO: -35% inventario -50% quiebres | TRANSFERIBLE: Retail manufactura logística consumo masivo,Diferenciador: La IA no recomienda indica exactamente qué hacer
BENCH-010,2026-02-12,Benchmark externo,Walmart Supply Chain,PENDIENTE,Consumo y Retail,Pricing dinámico retail,Operaciones,Walmart tiene dificultad para romper la espiral del descuento y precios estáticos que causa liquidaciones masivas y destrucción de margen,Cuando un cliente no reacciona a cambios de competencia o demanda este caso demuestra incremento del 5% en EBITDA,Operación predictiva de pricing dinámico que optimiza margen mediante señales de mercado y elasticidad precio,Scraping Competencia Modelo Elasticidad Optimización Margen ERP,5% incremento EBITDA 20% reducción mermas mayor agilidad de acción Time to Value 3-4 meses,Consumo y Retail | Walmart | Benchmark externo | PROBLEMA: Precios estáticos y liquidaciones masivas | SOLUCIÓN: Modelo IA pricing dinámico por elasticidad y mercado | RESULTADO: +5% EBITDA -20% mermas | TRANSFERIBLE: Retail aerolíneas hoteles moda,Elimina la sobre-preparación diaria alineando producción a demanda real
BENCH-011,2026-02-12,Benchmark externo,Levi's,PENDIENTE,Consumo y Retail,Optimización de costos laborales,Operaciones,Levi's tiene dificultad para resolver el dilema del gerente en planificación de horarios que causa desperdicio de alimentos y turnos ineficientes,Cuando un gerente pasa horas en Excel adivinando demanda este caso demuestra reducción del 50% en desperdicio,Modelo de operación predictiva para diseño dinámico de turnos y preparación de inventario basado en probabilidad de venta,Forecasting Optimización Horarios Gestión Laboral Predictiva,50% reducción desperdicio alimentos Food Waste liberación horas gerente aumento eficiencia laboral,Consumo y Retail | Levi's | Benchmark externo | PROBLEMA: Planificación manual de turnos y stock | SOLUCIÓN: Operación predictiva para turnos y producción | RESULTADO: -50% Food Waste horas liberadas | TRANSFERIBLE: Retail restaurantes fast food supermercados,Ajusta la fuerza laboral a los picos reales de demanda
BENCH-012,2026-02-12,Benchmark externo,Starbucks,PENDIENTE,Consumo y Retail,Forecasting avanzado inventario y personal,Operaciones,Starbucks tiene dificultad para evitar el error humano en proyecciones de preparación diaria que causa desperdicio y servicio lento,Cuando un cliente requiere alinear producción a demanda exógena (clima eventos) este caso demuestra reducción del 50% en desperdicio,Motor de predicción y optimización basado en LSTM y Prophet que automatiza turnos reposición y preparación en el POS,LSTM Prophet Deep Learning POS Cloud Infrastructure,50% reducción desperdicio Food Waste liberación horas eficiencia laboral Time to Value 8-10 semanas,Consumo y Retail | Starbucks | Benchmark externo | PROBLEMA: Desperdicio y turnos mal planificados por intuición | SOLUCIÓN: Forecasting LSTM/Prophet con señales exógenas | RESULTADO: -50% desperdicio alimentos | TRANSFERIBLE: Retail QSR logística de última milla,Uso de señales exógenas como clima y calendario de eventos locales
BENCH-013,2026-02-12,Benchmark externo,L'Oréal Paris,PENDIENTE,Consumo y Retail,Diagnóstico digital de piel,Marketing,L'Oréal tiene dificultad para superar la brecha de confianza en compras online que causa abandono masivo de carrito en skincare,Cuando un consumidor teme dañar su piel por falta de guía experta este caso demuestra 3x engagement,Diagnóstico digital mediante Computer Vision y reglas científicas que recomienda una rutina personalizada reemplazando al counter físico,Computer Vision Facial Analysis IA ModiFace Motor Científico,3x aumento engagement 80% ventas recurrentes por lealtad validación clínica digital,Consumo y Retail | L'Oréal | Benchmark externo | PROBLEMA: Miedo del cliente a comprar skincare online | SOLUCIÓN: Diagnóstico digital con Computer Vision y Rutina 1:1 | RESULTADO: 3x Engagement 80% lealtad | TRANSFERIBLE: Belleza salud farmacéutica moda,Caso de uso de IA para generar confianza y personalización masiva
BENCH-014,2026-02-12,Benchmark externo,L'Oréal Google Cloud,PENDIENTE,Consumo y Retail,Trend Intelligence predictiva,Marketing,L'Oréal tiene dificultad para vencer el TikTok Lag de 12-18 meses en I+D que causa pérdida de relevancia ante tendencias virales rápidas,Cuando un cliente necesita anticipar ingredientes virales este caso demuestra 6 meses de anticipación,Trend Intelligence Predictiva que escanea 3.5M+ fuentes continuas para detectar señales débiles y predecir curvas de tendencia,NLP Engine Predictive Analytics Social Sensing RAD Decision,6 meses anticipación en lanzamientos 3.5M fuentes analizadas R&D ágil reducción Time-to-Market,Consumo y Retail | L'Oréal | Benchmark externo | PROBLEMA: Ciclo I+D lento vs tendencias de redes sociales | SOLUCIÓN: NLP y Analytics para detección temprana señales débiles | RESULTADO: 6 meses de ventaja competitiva | TRANSFERIBLE: Consumo masivo moda entretenimiento tecnología,Reduce apuestas especulativas enfocando inversión en tendencias probables
BENCH-015,2026-02-12,Benchmark externo,Sephora AI,PENDIENTE,Consumo y Retail,Demand Intelligence para stock,Operaciones,Sephora tiene dificultad para resolver la ecuación Caducidad vs Tendencia que causa sobre-stock de maquillaje o quiebres de stock,Cuando un cliente gestiona 10.000 SKUs que vencen rápido este caso demuestra reducción del 30% en quiebres,Demand Intelligence en tiempo real que detecta cambios de comportamiento y optimiza reposición precisa por tienda,Predictive Analytics Optimización Stock Auto Planning,30% reducción quiebres de stock +15% rotación inventario eficiencia en planificación Time to Value 9 meses,Consumo y Retail | Sephora | Benchmark externo | PROBLEMA: Gestión manual de 10k SKUs con alta caducidad | SOLUCIÓN: Demand Intelligence para reposición precisa por tienda | RESULTADO: -30% quiebres stock +15% rotación | TRANSFERIBLE: Retail belleza farmacias alimentos frescos,Detecta cambios antes de que impacten en la disponibilidad en anaquel
BENCH-016,2026-02-12,Benchmark externo,The Estée Lauder Companies,PENDIENTE,Consumo y Retail,Control de calidad visual,Operaciones,Estée Lauder tiene dificultad para resolver la lentitud de manufactura de 18 meses que causa costos de calidad altos por inspección manual,Cuando un cliente tiene errores por fatiga humana en línea de lujo este caso demuestra inspección total sin cuellos de botella,Control de calidad inteligente usando Computer Vision en el borde (Edge AI) con cámaras industriales en línea para decisión en milisegundos,Computer Vision IoT Edge AI Cámaras Industriales Inferencia Borde,3x velocidad de mercado 100% cobertura inspección tasa de desperdicio minimizada Time to Value 9 meses,Consumo y Retail | Estée Lauder | Benchmark externo | PROBLEMA: Inspección manual lenta y propensa a error | SOLUCIÓN: Computer Vision Edge AI para validación en línea | RESULTADO: 3x velocidad 100% inspección | TRANSFERIBLE: Manufactura lujo farmacéutica electrónica,Modelo mejora continuamente con cada unidad validada
NEO-008,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Consumo y Retail,Producción audiovisual data-driven,Marketing,NEO Consulting tiene dificultad para resolver la demanda masiva de contenido short-form que causa costos altos e incapacidad de capitalizar micro-tendencias,Cuando un cliente requiere decenas de piezas para TikTok/Reels semanalmente este caso demuestra reducción del 40% en costos,Producción audiovisual con IA Generativa alineada a tendencias reales detectadas mediante social media scraping,Gemini VEO Video Generation CapCut Apify BigQuery Vertex AI,40% reducción costos producción 60% mejora Time to Market escalabilidad sin fricción operativa,Consumo y Retail | NEO | Caso NEO propio | PROBLEMA: Producción lenta/cara de videos para redes sociales | SOLUCIÓN: IA Generativa (VEO Gemini) y Social Scraping | RESULTADO: -40% costos -60% TTM | TRANSFERIBLE: Agencias marketing retail marcas de consumo,Contenido nace de señales de mercado no solo de intuición
NEO-009,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Consumo y Retail,Control preventivo de calidad print,Operaciones,NEO Consulting tiene dificultad para mitigar el riesgo de la errata impresa que causa pérdidas millonarias y reclamos legales en catálogos masivos,Cuando un cliente revisa manualmente catálogos con cientos de SKUs este caso demuestra eliminación del 95% de errores,Control preventivo de calidad con IA Multimodal que valida precios promociones y contenido legal contra fuentes originales (Excel ERP),Vision API NLP Gemini Multimodal Vertex AI,95% reducción errores imprenta 30+ incidencias críticas encontradas antes de publicación,Consumo y Retail | NEO | Caso NEO propio | PROBLEMA: Errores en catálogos impresos por revisión manual | SOLUCIÓN: IA Multimodal para validación contextual vs ERP | RESULTADO: -95% errores imprenta | TRANSFERIBLE: Retail editorial farmacéutica banca,Comprende si el contenido tiene sentido comercial no solo visual
NEO-010,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Consumo y Retail,Retención inteligente de clientes,Ventas,NEO Consulting tiene dificultad para cambiar el paradigma reactivo de fuga de clientes que causa pérdida constante de usuarios de alto valor,Cuando un cliente detecta abandonos solo cuando ya ocurrieron este caso demuestra 4 meses de anticipación,Motor predictivo de retención con enfoque en valor (Churn IA) que prioriza clientes por riesgo y valor esperado para acciones automáticas,Google Cloud Vertex AI Machine Learning Clasificación Supervisada,95% precisión del modelo 4 meses ventana anticipación 4000 clientes blindados Time to Value 2 meses,Consumo y Retail | NEO | Caso NEO propio | PROBLEMA: Pérdida reactiva de clientes de alto valor | SOLUCIÓN: Modelo predictivo de Churn con 4 meses de ventana | RESULTADO: 95% precisión 4k clientes blindados | TRANSFERIBLE: Telcos banca seguros retail suscripciones,Convierte el riesgo en acciones concretas (ofertas contactos)
NEO-011,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Consumo y Retail,Automatización de carga contable,Ventas,NEO Consulting tiene dificultad para eliminar el caos del cierre contable manual que causa discrepancias fiscales y falta de trazabilidad,Cuando un equipo financiero pierde días cruzando SAP vs Gera este caso demuestra automatización del 80%,Capa inteligente de conciliación y control financiero mediante motor ETL inteligente con reglas fiscales integradas,Python SQL SAP Gera Soft Motor ETL Reglas Fiscales,80% reducción carga operativa 100% trazabilidad Audit Trail cierre contable acelerado,Consumo y Retail | NEO | Caso NEO propio | PROBLEMA: Cruce manual lento de SAP y sistemas de ventas | SOLUCIÓN: Motor ETL inteligente con reglas fiscales (IGV) | RESULTADO: -80% carga manual 100% trazabilidad | TRANSFERIBLE: Finanzas contabilidad auditoría retail,El equipo deja de cuadrar números y se enfoca en análisis estratégico
NEO-012,2026-02-12,Caso NEO propio,NEO Consulting,PENDIENTE,Consumo y Retail,Democratización de datos Text-to-SQL,Operaciones,NEO Consulting tiene dificultad para eliminar el cuello de botella en BI que causa analistas senior perdiendo tiempo en consultas SQL básicas,Cuando áreas operativas dependen de BI para preguntas básicas este caso demuestra reducción del 70% en tiempo de análisis,Desarrollo de IA Text-to-SQL que permite consultas en lenguaje natural directo sobre BigQuery manteniendo control centralizado,LLM LangChain BigQuery Metadata Schema Gradio Frontend,70% reducción tiempo análisis $10k ahorro anual estimado respuestas en minutos Time to Value 3 semanas,Consumo y Retail | NEO | Caso NEO propio | PROBLEMA: Analistas senior saturados por consultas SQL básicas | SOLUCIÓN: Interfaz Text-to-SQL en lenguaje natural para BigQuery | RESULTADO: -70% tiempo análisis respuestas inmediatas | TRANSFERIBLE: BI analítica cualquier industria con bases SQL,Analistas dejan de responder tareas repetitivas para foco estratégico
NEO-013,2026-02-12,Caso NEO propio,Supermercados Peruanos SA,PENDIENTE,Consumo y Retail,Fábrica de contenido GenAI Always-On,Growth,Supermercados Peruanos tiene dificultad para romper la dependencia logística en producción de contenido que causa lentitud para alimentar pantallas y redes,Cuando un cliente requiere contenido comercial fresco sin cámaras ni actores este caso demuestra reducción del 90% en costos,Estudio audiovisual 100% virtual GenAI para generación de activos activos y ensamblaje automático de piezas listas para difusión,Texto a Imagen/Video Avatares Entornos 3D Postproducción Automática GenAI,90% reducción costo producción +50% Time to Market 100% contenido sintético Time to Value 2 meses,Consumo y Retail | Supermercados Peruanos | Caso NEO propio | PROBLEMA: Dependencia logística para contenido fresco | SOLUCIÓN: Fábrica de contenido sintético 100% virtual | RESULTADO: -90% costo producción contenido Always-On | TRANSFERIBLE: Retail publicidad canales digitales marcas consumo,Un mismo concepto se adapta a múltiples formatos sin rehacer producción
NEO-014,2026-02-12,Caso NEO propio,San Fernando,PENDIENTE,Consumo y Retail,Eficiencia logística con Deep Learning,Growth,San Fernando tiene dificultad para capturar la complejidad de la demanda (estacionalidad clima) que causa ineficiencias en distribución y mermas,Cuando métodos tradicionales no logran precisión por SKU/Tienda este caso demuestra +75% precisión de forecast,Motor de forecast inteligente para optimización de la cadena de suministro usando redes neuronales y patrones no lineales,Deep Learning Redes Neuronales SAP ERP Variables Exógenas,75% precisión forecast 10% eficiencia logística innovación LATAM Time to Value 2 meses,Consumo y Retail | San Fernando | Caso NEO propio | PROBLEMA: Modelos lineales imprecisos para demanda compleja | SOLUCIÓN: Motor de predicción Deep Learning con variables exógenas | RESULTADO: +75% precisión forecast +10% eficiencia logística | TRANSFERIBLE: Consumo masivo perecederos logística distribución,Decisiones basadas en demanda real eliminando proyecciones promedio
